text,label
Urgent: Your account has been suspended. Click here to verify: http://fakebank.com/login,1
"Congratulations! You've won $1,000,000. Claim your prize now: http://lottery-scam.com/claim",1
Your package is delayed. Update shipping info: http://amazon-fake.com/track,1
Security Alert: Unusual login detected. Confirm identity: http://paypal-security.com/verify,1
OTP Required: Your one-time password is 123456. Do not share.,1
Important: Update your payment information immediately to avoid service interruption.,1
Meeting reminder: Team standup at 10 AM tomorrow in conference room A.,0
Your order #12345 has been shipped. Track it here: https://amazon.com/track,0
Weekly newsletter: Check out our latest blog posts and updates.,0
Invoice for services rendered in October 2023.,0
Thank you for your recent purchase. Here's your receipt.,0
Project update: The new feature deployment is scheduled for next week.,0
